Input,LaTeX Output,Description
+,\(+\),"Plus symbol"
-,\(-\),"Minus symbol"
*,\(\times\),"Multiplication symbol"
รท,\(\div\),"Division symbol"
psi\,\(\psi\),"Psi symbol"
fi\,\(\phi\),"Phi symbol"
theta\,\(\theta\),"Theta symbol"
lambda\,\(\lambda\),"Lambda symbol"
alpha\,\(\alpha\),"Alpha symbol"
beta\,\(\beta\),"Beta symbol"
gamma\,\(\gamma\),"Gamma symbol"
delta\,\(\delta\),"Delta symbol"
epsilon\,\(\epsilon\),"Epsilon symbol"
zeta\,\(\zeta\),"Zeta symbol"
eta\,\(\eta\),"Eta symbol"
iota\,\(\iota\),"Iota symbol"
kappa\,\(\kappa\),"Kappa symbol"
mu\,\(\mu\),"Mu symbol"
nu\,\(\nu\),"Nu symbol"
xi\,\(\xi\),"Xi symbol"
omicron\,\(\omicron\),"Omicron symbol"
pi\,\(\pi\),"Pi symbol"
rho\,\(\rho\),"Rho symbol"
sigma\,\(\sigma\),"Sigma symbol"
tau\,\(\tau\),"Tau symbol"
upsilon\,\(\upsilon\),"Upsilon symbol"
chi\,\(\chi\),"Chi symbol"
omega\,\(\omega\),"Omega symbol"
Gamma\,\(\Gamma\),"Capital Gamma symbol"
Delta\,\(\Delta\),"Capital Delta symbol"
Xi\,\(\Xi\),"Capital Xi symbol"
Pi\,\(\Pi\),"Capital Pi symbol"
Rho\,\(\varrho\),"Capital Rho symbol"
Omega\,\(\Omega\),"Capital Omega symbol"
Sigma\,\(\Sigma\),"Capital Sigma symbol"
infinity\,\(\infty\),"Infinity symbol"
because\,\(\because\),"Because symbol"
downarrow\,\(\downarrow\),"Downward arrow"
uparrow\,\(\uparrow\),"Upward arrow"
doublerightarrow\ or implies\,\(\Rightarrow\),"Rightward double arrow or implies"
doubleleftarrow\,\(\Leftarrow\),"Leftward double arrow"
leftrightarrow\,\(\leftrightarrow\),"Bidirectional arrow"
rightarrow\,\(\rightarrow\),"Right arrow"
leftarrow\,\(\leftarrow\),"Left arrow"
mapsto\,\(\mapsto\),"Mapsto arrow"
int\,\(\int\),"Integration Symbol"
derivative{x},\(\frac {d}{dx} \),"Derivative with any variable"
partial\, \(\partial \), "Partial Sign"
partial{x}, \(\frac {\partial}{\partial x} \), "Partial derivative with any variable"


